tab,exposures,active_users,watch_hours,seconds_per_exposure,long_view_rate
0,2097468,961,1388.7358088888923,2.383563855086234,0.04161160027232835
1,7145942,991,37672.53215305601,18.978759658418948,0.32638468098397666
2,375237,171,2029.831639999985,19.47407612788703,0.3167198330655026
3,35466,660,2.3150036111111123,0.2349859865786952,0.004003834658546214
4,872383,831,4971.85035250004,20.516976223745928,0.4302880730138024
5,8842,102,20.61401555555554,8.392949106536976,0.11388826057453065
6,96308,832,185.4854608333332,6.933459930639194,0.08860115462889895
7,3742,60,22.905030277777772,22.03583885622661,0.3156066274719401
8,17430,154,9.328247500000002,1.9266604130808953,0.018129661503155477
9,1911,79,20.96904055555555,39.502117216117206,0.32339089481946626
10,952,48,24.01654722222222,90.81887605042016,0.6596638655462185
11,16767,12,10.12023055555555,2.1728890081708103,0.0469374366314785
12,11007,92,23.080445277777784,7.54879649314073,0.08839829199600255
13,17,3,0.0451725,9.565941176470588,0.17647058823529413
14,433,4,2.759766944444445,22.944944572748273,0.48498845265588914
